"","home_team","away_team","averagewinpb"
"152","CHA","MIN",0.54675
"153","CHA","NO",0.575975
"154","CHA","NY",0.608483333333333
"155","CHA","OKC",0.432125
"156","CHA","ORL",0.534638888888889
"157","CHA","PHI",0.563288888888889
"158","CHA","PHX",0.61575
"159","CHA","POR",0.574333333333333
"160","CHA","SA",0.5675
"161","CHA","SAC",0.60125
"162","CHA","TOR",0.604276785714285
"163","CHA","UTAH",0.628333333333333
"164","CHA","WSH",0.565333333333333
"165","CHI","ATL",0.628646102502779
"166","CHI","BKN",0.569257142857143
"167","CHI","BOS",0.56190201550336
"168","CHI","BRK",0.623628056938151
"169","CHI","CHA",0.559130952380952
"170","CHI","CHO",0.65592989438014
"171","CHI","CLE",0.582198655183891
"172","CHI","DAL",0.589539476346817
"173","CHI","DEN",0.626742739365155
"174","CHI","DET",0.593519315938382
"175","CHI","GS",0.540875
"176","CHI","GSW",0.59664149126474
"177","CHI","HOU",0.581274116223767
"178","CHI","IND",0.580235011761083
"179","CHI","LAC",0.60482596359557
"180","CHI","LAL",0.636341887420474
"181","CHI","MEM",0.600645126941156
"182","CHI","MIA",0.611912216043989
"183","CHI","MIL",0.605419288429271
"184","CHI","MIN",0.612294152120133
"185","CHI","NO",0.576541666666667
"186","CHI","NOP",0.619320758332569
"187","CHI","NY",0.6089375
"188","CHI","NYK",0.644921665248013
"189","CHI","OKC",0.584010941314391
"190","CHI","ORL",0.649883573928366
"191","CHI","PHI",0.579979040159921
"192","CHI","PHO",0.63917086322751
"193","CHI","PHX",0.549333333333333
"194","CHI","POR",0.629020926529334
"195","CHI","SA",0.531666666666667
"196","CHI","SAC",0.614103347078142
"197","CHI","SAS",0.615975454316836
"198","CHI","TOR",0.550304583944648
"199","CHI","UTA",0.600826494300125
"200","CHI","UTAH",0.571833333333333
"201","CHI","WAS",0.615751334127718
"202","CHI","WSH",0.583696428571429
"203","CHO","ATL",0.642257947032833
"204","CHO","BOS",0.607120866828755
"205","CHO","BRK",0.663021947994091
"206","CHO","CHI",0.655929894380139
"207","CHO","CLE",0.626097862220508
"208","CHO","DAL",0.625620201419183
"209","CHO","DEN",0.602999213028735
"210","CHO","DET",0.665423712871982
"211","CHO","GSW",0.622542868999411
"212","CHO","HOU",0.564598173058552
"213","CHO","IND",0.639623892508732
"214","CHO","LAC",0.659378377710005
"215","CHO","LAL",0.621074979141375
