date,season,home_team,away_team,ESPN_home_wp,ESPN_away_wp,538_home_wp,538_away_wp,model_home_wp,model_away_wp,Outcome,ModelPredOutcome,Accurate?
2020-01-04,2020,BRK,TOR,0.572,0.428,0.344953839820478,0.655046160179522,0.458476919910239,0.541523080089761,TOR,TOR,True
2020-01-05,2020,LAC,NYK,0.098,0.902,0.897620647771581,0.10237935222841898,0.4978103238857905,0.5021896761142095,LAC,NYK,False
2020-01-05,2020,MIA,POR,0.302,0.698,0.687069116426367,0.31293088357363297,0.4945345582131835,0.5054654417868165,MIA,POR,False
2020-01-11,2020,HOU,MIN,0.207,0.793,0.859925780245733,0.14007421975426704,0.5334628901228665,0.46653710987713354,HOU,HOU,True
2020-01-12,2020,NYK,MIA,0.729,0.271,0.251833897242701,0.748166102757299,0.4904169486213505,0.5095830513786495,NYK,MIA,False
2020-01-12,2020,WAS,UTA,0.707,0.293,0.525588192785548,0.474411807214452,0.616294096392774,0.383705903607226,UTA,WAS,False
2020-01-12,2020,BRK,ATL,0.233,0.767,0.726208447276377,0.273791552723623,0.4796042236381885,0.5203957763618114,BRK,ATL,False
2020-01-12,2020,TOR,SAS,0.221,0.779,0.753872942267881,0.24612705773211896,0.4874364711339405,0.5125635288660595,SAS,SAS,True
2020-01-12,2020,MEM,GSW,0.354,0.646,0.779930030484919,0.22006996951508095,0.5669650152424595,0.4330349847575405,MEM,MEM,True
2020-01-18,2020,NOP,LAC,0.688,0.312,0.409517737092182,0.590482262907818,0.5487588685460909,0.451241131453909,LAC,NOP,False
2020-01-18,2020,BRK,MIL,0.767,0.233,0.258288753176725,0.7417112468232749,0.5126443765883625,0.48735562341163746,MIL,BRK,False
2020-01-19,2020,SAS,MIA,0.491,0.509,0.483378813069212,0.516621186930788,0.48718940653460596,0.5128105934653939,SAS,MIA,False
2020-01-20,2020,WAS,DET,0.506,0.494,0.685342704049887,0.31465729595011305,0.5956713520249435,0.4043286479750565,WAS,WAS,True
2020-01-20,2020,ATL,TOR,0.78,0.22,0.274989638755099,0.725010361244901,0.5274948193775495,0.4725051806224505,TOR,ATL,False
2020-01-20,2020,BRK,PHI,0.577,0.423,0.346492356120321,0.653507643879679,0.4617461780601605,0.5382538219398395,PHI,PHI,True
2020-01-20,2020,CHO,ORL,0.59,0.41,0.39278999866526,0.60721000133474,0.49139499933263,0.50860500066737,ORL,ORL,True
2020-01-20,2020,CLE,NYK,0.406,0.594,0.687790959408103,0.312209040591897,0.5468954797040515,0.4531045202959485,NYK,CLE,False
2020-01-20,2020,MIA,SAC,0.253,0.747,0.481937283142989,0.518062716857011,0.3674686415714945,0.6325313584285055,MIA,SAC,False
2020-01-20,2020,HOU,OKC,0.304,0.696,0.788456784135631,0.21154321586436897,0.5462283920678155,0.45377160793218446,OKC,HOU,False
2020-01-20,2020,MEM,NOP,0.396,0.604,0.607438610645947,0.39256138935405305,0.5017193053229735,0.4982806946770265,NOP,MEM,False
2020-01-20,2020,MIL,CHI,0.076,0.924,0.920533113836647,0.07946688616335296,0.4982665569183235,0.5017334430816764,MIL,CHI,False
2020-01-24,2020,CHO,MIL,0.895,0.105,0.0829078545567116,0.9170921454432884,0.4889539272783558,0.5110460727216443,MIL,MIL,True
2020-01-25,2020,UTA,DAL,0.386,0.614,0.69807642219961,0.30192357780039003,0.542038211099805,0.457961788900195,UTA,UTA,True
2020-01-26,2020,DEN,HOU,0.426,0.574,0.501393293723756,0.49860670627624404,0.46369664686187795,0.536303353138122,DEN,HOU,False
2020-01-26,2020,SAS,TOR,0.567,0.433,0.364241210313486,0.635758789686514,0.465620605156743,0.534379394843257,TOR,TOR,True
2020-01-26,2020,ATL,WAS,0.464,0.536,0.493048883536854,0.506951116463146,0.478524441768427,0.521475558231573,ATL,WAS,False
2020-01-26,2020,NYK,BRK,0.565,0.435,0.62572127554136,0.37427872445863997,0.5953606377706799,0.40463936222931995,NYK,NYK,True
2020-01-26,2020,ORL,LAC,0.61,0.39,0.591310093429912,0.40868990657008797,0.6006550467149561,0.399344953285044,LAC,ORL,False
2020-01-26,2020,MEM,PHO,0.414,0.586,0.591110751172711,0.40888924882728905,0.5025553755863554,0.4974446244136445,MEM,MEM,True
2020-01-26,2020,NOP,BOS,0.636,0.364,0.712456993525114,0.28754300647488595,0.674228496762557,0.32577150323744297,NOP,NOP,True
2021-01-02,2021,HOU,SAC,0.256,0.744,0.724496858593975,0.27550314140602505,0.4902484292969875,0.5097515707030125,HOU,SAC,False
2021-01-03,2021,DET,BOS,0.761,0.239,0.257448254308827,0.742551745691173,0.5092241271544136,0.4907758728455865,BOS,DET,False
2021-01-03,2021,BRK,WAS,0.291,0.709,0.749317623078937,0.250682376921063,0.5201588115394685,0.4798411884605315,WAS,BRK,False
2021-01-03,2021,MEM,LAL,0.83,0.17,0.415040516487328,0.584959483512672,0.622520258243664,0.37747974175633603,LAL,MEM,False
2021-01-09,2021,PHI,DEN,0.438,0.562,0.264253117132028,0.7357468828679721,0.351126558566014,0.6488734414339861,DEN,DEN,True
2021-01-10,2021,MIN,SAS,0.607,0.393,0.420855979847506,0.579144020152494,0.513927989923753,0.486072010076247,MIN,MIN,True
2021-01-10,2021,DET,UTA,0.715,0.285,0.298551650081181,0.701448349918819,0.5067758250405905,0.4932241749594095,UTA,DET,False
2021-01-10,2021,LAC,CHI,0.126,0.874,0.87412567163423,0.12587432836576995,0.5000628358171151,0.499937164182885,LAC,LAC,True
2021-01-10,2021,BRK,OKC,0.182,0.818,0.705471850872606,0.294528149127394,0.443735925436303,0.556264074563697,OKC,OKC,True
2021-01-10,2021,NYK,DEN,0.836,0.164,0.423953909669084,0.576046090330916,0.629976954834542,0.37002304516545803,DEN,NYK,False
2021-01-16,2021,SAS,HOU,0.551,0.449,0.706709358357675,0.293290641642325,0.6288546791788375,0.37114532082116247,SAS,SAS,True
2021-01-16,2021,BRK,ORL,0.186,0.814,0.7921469337444,0.20785306625559996,0.4890734668722,0.5109265331277999,BRK,ORL,False
2021-01-17,2021,BOS,NYK,0.249,0.751,0.820301752277051,0.17969824772294896,0.5346508761385256,0.4653491238614745,NYK,BOS,False
2021-01-17,2021,DAL,CHI,0.17,0.83,0.812477747852911,0.18752225214708895,0.49123887392645554,0.5087611260735445,CHI,CHI,True
2021-01-18,2021,NYK,ORL,0.665,0.335,0.52505489868792,0.47494510131208,0.59502744934396,0.40497255065604,NYK,NYK,True
2021-01-18,2021,ATL,MIN,0.404,0.596,0.843243954760473,0.15675604523952702,0.6236219773802365,0.3763780226197635,ATL,ATL,True
2021-01-18,2021,POR,SAS,0.408,0.592,0.583663565320097,0.416336434679903,0.49583178266004846,0.5041682173399515,SAS,SAS,True
2021-01-18,2021,MEM,PHO,0.781,0.219,0.408356413090802,0.591643586909198,0.594678206545401,0.405321793454599,MEM,MEM,True
2021-01-23,2021,PHO,DEN,0.438,0.562,0.540237925987499,0.459762074012501,0.48911896299374946,0.5108810370062505,DEN,DEN,True
2021-01-24,2021,IND,TOR,0.583,0.417,0.554547908338211,0.445452091661789,0.5687739541691055,0.4312260458308945,TOR,IND,False
2021-01-24,2021,LAC,OKC,0.22,0.78,0.875762101005988,0.12423789899401205,0.547881050502994,0.45211894949700604,LAC,LAC,True
2021-01-25,2021,ORL,CHO,0.579,0.421,0.603544806527707,0.39645519347229297,0.5912724032638534,0.40872759673614645,ORL,ORL,True
2021-01-31,2021,NYK,LAC,0.674,0.326,0.328820710841992,0.671179289158008,0.501410355420996,0.498589644579004,LAC,NYK,False
2021-01-31,2021,DEN,UTA,0.543,0.457,0.609309220119219,0.39069077988078105,0.5761546100596096,0.42384538994039056,DEN,DEN,True
2022-01-01,2022,MIL,NOP,0.222,0.778,0.902465235854047,0.09753476414595297,0.5622326179270235,0.4377673820729765,MIL,MIL,True
2022-01-02,2022,TOR,NYK,0.326,0.674,0.727303065649921,0.272696934350079,0.5266515328249605,0.47334846717503953,TOR,TOR,True
2022-01-02,2022,BOS,ORL,0.237,0.763,0.860421390921777,0.13957860907822295,0.5487106954608885,0.4512893045391115,BOS,BOS,True
2022-01-02,2022,CLE,IND,0.232,0.768,0.582713450192067,0.417286549807933,0.4073567250960335,0.5926432749039665,CLE,IND,False
